% 1. Title: POSTag dataset
%
% 2. Sources: UD_Indonesian
%
@RELATION postag
@ATTRIBUTE form NUMERIC
@ATTRIBUTE prevpostag NUMERIC
@ATTRIBUTE class {_,PROPN,AUX,DET,NOUN,PRON,VERB,ADP,PUNCT,ADV,CCONJ,SCONJ,NUM,ADJ,PART,SYM,X}
@DATA
1,0,PROPN
2,1,AUX
3,2,DET
4,3,NOUN
5,4,PRON
6,5,VERB
7,6,ADP
8,7,NOUN
9,4,PROPN
10,1,PUNCT
11,8,NOUN
12,4,PROPN
10,1,PUNCT
13,8,PROPN
14,1,PROPN
10,1,PUNCT
15,8,PROPN
16,1,PUNCT
17,8,DET
18,3,NOUN
19,4,NOUN
20,4,ADV
21,9,VERB
7,6,ADP
22,7,NOUN
23,4,CCONJ
24,10,ADP
25,7,VERB
3,6,DET
26,3,NOUN
27,4,CCONJ
28,10,VERB
29,6,DET
30,3,NOUN
31,4,SCONJ
32,11,PRON
33,5,VERB
34,6,NOUN
16,4,PUNCT
35,8,NOUN
36,4,DET
37,3,VERB
38,6,ADP
39,7,NOUN
40,4,PROPN
5,1,PRON
41,5,VERB
42,6,NOUN
43,4,PROPN
44,1,PROPN
27,1,CCONJ
45,10,PROPN
10,1,PUNCT
27,8,CCONJ
46,10,ADP
47,7,NOUN
48,4,NUM
38,12,ADP
49,7,PROPN
50,1,PROPN
24,1,ADP
51,7,NOUN
52,4,NOUN
5,4,PRON
53,5,ADV
41,9,VERB
54,6,ADP
55,7,NOUN
16,4,PUNCT
56,8,ADP
57,7,NOUN
58,4,ADJ
10,13,PUNCT
59,8,NUM
60,12,NOUN
61,4,NOUN
10,4,PUNCT
62,8,PROPN
27,1,CCONJ
63,10,PROPN
64,1,PUNCT
65,8,PROPN
66,1,VERB
67,6,DET
68,3,NOUN
69,4,NOUN
70,4,ADP
71,7,NOUN
72,4,ADP
60,7,NOUN
73,4,PROPN
16,1,PUNCT
74,8,SCONJ
33,11,VERB
34,6,NOUN
70,4,ADP
75,7,ADP
76,7,NOUN
10,4,PUNCT
77,8,NOUN
78,4,ADV
79,9,ADV
80,9,VERB
81,6,NUM
23,12,CCONJ
59,10,NUM
82,12,NOUN
83,4,NOUN
70,4,ADP
84,7,NOUN
85,4,NOUN
60,4,NOUN
73,4,PROPN
86,1,ADP
87,7,ADV
88,9,VERB
89,6,NOUN
16,4,PUNCT
90,8,PROPN
91,1,NOUN
92,4,NOUN
2,4,AUX
93,2,NUM
10,12,PUNCT
94,8,NUM
47,12,NOUN
10,4,PUNCT
95,8,ADP
7,7,ADP
96,7,NOUN
97,4,NOUN
98,4,PROPN
99,1,PROPN
16,1,PUNCT
100,8,PROPN
101,1,PROPN
5,1,PRON
102,5,ADV
103,9,VERB
104,6,NOUN
5,4,PRON
105,5,ADV
32,9,PRON
106,5,VERB
107,6,DET
108,3,VERB
38,6,ADP
109,7,PROPN
110,1,PROPN
111,1,ADP
112,7,VERB
113,6,VERB
114,6,ADP
115,7,PROPN
116,1,PROPN
16,1,PUNCT
117,8,PROPN
118,1,ADV
5,9,PRON
119,5,ADJ
68,13,NOUN
120,4,VERB
121,6,NOUN
122,4,NOUN
46,4,ADP
123,7,NOUN
16,4,PUNCT
124,8,PROPN
36,1,DET
125,3,ADV
126,9,VERB
127,6,ADP
128,7,NOUN
129,4,ADJ
75,13,ADP
130,7,NOUN
131,4,PROPN
132,1,PUNCT
133,8,PROPN
134,1,PROPN
135,1,PUNCT
10,8,PUNCT
136,8,PROPN
136,1,PROPN
137,1,PROPN
10,1,PUNCT
27,8,CCONJ
138,10,NOUN
139,4,PUNCT
140,8,PROPN
140,1,PROPN
141,1,PROPN
139,1,PUNCT
16,8,PUNCT
142,8,SCONJ
143,11,VERB
144,6,DET
145,3,NOUN
5,4,PRON
146,5,VERB
147,6,VERB
148,6,NOUN
149,4,NOUN
16,4,PUNCT
150,8,NOUN
151,4,NOUN
152,4,PROPN
153,1,PROPN
36,1,DET
154,3,VERB
38,6,ADP
67,7,DET
155,3,NOUN
156,4,ADJ
7,13,ADP
157,7,ADP
38,7,ADP
